ID,repo,class,line,Mutator,Status after refactoring,,,,,,,,,,
4,jfreechart,org.jfree.chart.plot.MeterPlot,1079,Math,Killed,,,,,,,,,,
4,jfreechart,org.jfree.chart.plot.MeterPlot,1080,Math,Killed,,,,,,,,,,
4,jfreechart,org.jfree.chart.plot.MeterPlot,1080,Math,Killed,,,,,,,,,,
4,jfreechart,org.jfree.chart.plot.MeterPlot,1081,Math,Killed,,,,,,,,,,
4,jfreechart,org.jfree.chart.plot.MeterPlot,1081,Math,Killed,,,,,,,,,,
5,jfreechart,org.jfree.chart.plot.PiePlot3D,961,Negate Conditionals,Killed,,,,,,,,,,
5,jfreechart,org.jfree.chart.plot.PiePlot3D,961,True Returns,Killed,,,,,,,,,,
5,jfreechart,org.jfree.chart.plot.PiePlot3D,961,Conditionals Boundary,Killed,,,,,,,,,,
5,jfreechart,org.jfree.chart.plot.PiePlot3D,974,Negate Conditionals,Killed,,,,,,,,,,
5,jfreechart,org.jfree.chart.plot.PiePlot3D,974,True Returns,Killed,,,,,,,,,,
5,jfreechart,org.jfree.chart.plot.PiePlot3D,974,Conditionals Boundary,Killed,,,,,,,,,,
5,jfreechart,org.jfree.chart.plot.PiePlot3D,594,Negate Conditionals,Killed,,,,,,,,,,
6,jfreechart,org.jfree.chart.axis.CategoryAxis,970,Math,Killed,,,,,,,,,,
6,jfreechart,org.jfree.chart.axis.CategoryAxis,971,Math,Killed,,,,,,,,,,
6,jfreechart,org.jfree.chart.axis.CategoryAxis,978,Math,Killed,,,,,,,,,,
6,jfreechart,org.jfree.chart.axis.CategoryAxis,979,Math,Killed,,,,,,,,,,
6,jfreechart,org.jfree.chart.axis.CategoryAxis,989,Math,Killed,,,,,,,,,,
6,jfreechart,org.jfree.chart.axis.CategoryAxis,989,Math,Killed,,,,,,,,,,
7,bukkit,org.bukkit.plugin.messaging.StandardMessenger,48,Negate Conditionals,Killed,,,,,,,,,,
7,bukkit,org.bukkit.plugin.messaging.StandardMessenger,51,Negate Conditionals,Killed,,,,,,,,,,
7,bukkit,org.bukkit.plugin.messaging.StandardMessenger,59,Negate Conditionals,Killed,,,,,,,,,,
7,bukkit,org.bukkit.plugin.messaging.StandardMessenger,328,Empty Returns,Survived,,,,,,,,,,
7,bukkit,org.bukkit.plugin.messaging.StandardMessenger,353,Empty Returns,Survived,,,,,,,,,,
7,bukkit,org.bukkit.plugin.messaging.StandardMessenger,320,Void method Calls,Killed,,,,,,,,,,
7,bukkit,org.bukkit.plugin.messaging.StandardMessenger,337,Void method Calls,Killed,,,,,,,,,,
7,bukkit,org.bukkit.plugin.messaging.StandardMessenger,378,Void method Calls,Killed,,,,,,,,,,
7,bukkit,org.bukkit.plugin.messaging.StandardMessenger,399,Void method Calls,Killed,,,,,,,,,,
8,bukkit,org.bukkit.plugin.messaging.PluginMessageListenerRegistration,98,Math,Survived,,,,,,,,,,
8,bukkit,org.bukkit.plugin.messaging.PluginMessageListenerRegistration,98,Math,Survived,,,,,,,,,,
8,bukkit,org.bukkit.plugin.messaging.PluginMessageListenerRegistration,98,Negate Conditionals,Killed,,,,,,,,,,
8,bukkit,org.bukkit.plugin.messaging.PluginMessageListenerRegistration,99,Math,Killed,,,,,,,,,,
8,bukkit,org.bukkit.plugin.messaging.PluginMessageListenerRegistration,99,Math,Survived,,,,,,,,,,
8,bukkit,org.bukkit.plugin.messaging.PluginMessageListenerRegistration,99,Negate Conditionals,Killed,,,,,,,,,,
8,bukkit,org.bukkit.plugin.messaging.PluginMessageListenerRegistration,100,Math,Killed,,,,,,,,,,
8,bukkit,org.bukkit.plugin.messaging.PluginMessageListenerRegistration,100,Math,Survived,,,,,,,,,,
8,bukkit,org.bukkit.plugin.messaging.PluginMessageListenerRegistration,100,Negate Conditionals,Killed,,,,,,,,,,
8,bukkit,org.bukkit.plugin.messaging.PluginMessageListenerRegistration,101,Math,Killed,,,,,,,,,,
8,bukkit,org.bukkit.plugin.messaging.PluginMessageListenerRegistration,101,Math,Survived,,,,,,,,,,
8,bukkit,org.bukkit.plugin.messaging.PluginMessageListenerRegistration,101,Negate Conditionals,Killed,,,,,,,,,,
8,bukkit,org.bukkit.plugin.messaging.PluginMessageListenerRegistration,102,Primitive Returns,Killed,,,,,,,,,,
8,bukkit,org.bukkit.plugin.messaging.PluginMessageListenerRegistration,80,Negate Conditionals,Survived,,,,,,,,,,
8,bukkit,org.bukkit.plugin.messaging.PluginMessageListenerRegistration,83,Negate Conditionals,Survived,,,,,,,,,,
8,bukkit,org.bukkit.plugin.messaging.PluginMessageListenerRegistration,83,Negate Conditionals,Killed,,,,,,,,,,
8,bukkit,org.bukkit.plugin.messaging.PluginMessageListenerRegistration,83,Negate Conditionals,Killed,,,,,,,,,,
8,bukkit,org.bukkit.plugin.messaging.PluginMessageListenerRegistration,84,True Returns,Killed,,,,,,,,,,
8,bukkit,org.bukkit.plugin.messaging.PluginMessageListenerRegistration,87,True Returns,Killed,,,,,,,,,,
8,bukkit,org.bukkit.plugin.messaging.PluginMessageListenerRegistration,89,Negate Conditionals,Survived,,,,,,,,,,
8,bukkit,org.bukkit.plugin.messaging.PluginMessageListenerRegistration,90,True Returns,Killed,,,,,,,,,,
9,bukkit,org.bukkit.configuration.MemorySection,296,Negate Conditionals,Survived,,,,,,,,,,
9,bukkit,org.bukkit.configuration.MemorySection,326,Negate Conditionals,Survived,,,,,,,,,,
9,bukkit,org.bukkit.configuration.MemorySection,341,Negate Conditionals,Survived,,,,,,,,,,
9,bukkit,org.bukkit.configuration.MemorySection,357,Negate Conditionals,Survived,,,,,,,,,,
9,bukkit,org.bukkit.configuration.MemorySection,620,Negate Conditionals,Survived,,,,,,,,,,
9,bukkit,org.bukkit.configuration.MemorySection,650,Negate Conditionals,Survived,,,,,,,,,,
9,bukkit,org.bukkit.configuration.MemorySection,665,Negate Conditionals,Survived,,,,,,,,,,
9,bukkit,org.bukkit.configuration.MemorySection,59,Void method Calls,Survived,,,,,,,,,,
9,bukkit,org.bukkit.configuration.MemorySection,60,Void method Calls,Survived,,,,,,,,,,
9,bukkit,org.bukkit.configuration.MemorySection,66,Void method Calls,Survived,,,,,,,,,,
9,bukkit,org.bukkit.configuration.MemorySection,701,Void method Calls,Survived,,,,,,,,,,
9,bukkit,org.bukkit.configuration.MemorySection,137,Void method Calls,Killed,,,,,,,,,,
9,bukkit,org.bukkit.configuration.MemorySection,163,Void method Calls,Killed,,,,,,,,,,
9,bukkit,org.bukkit.configuration.MemorySection,202,Void method Calls,Killed,,,,,,,,,,
9,bukkit,org.bukkit.configuration.MemorySection,234,Void method Calls,Killed,,,,,,,,,,
9,bukkit,org.bukkit.configuration.MemorySection,779,Void method Calls,Killed,,,,,,,,,,
10,bukkit,org.bukkit.command.SimpleCommandMap,27,Void method Calls,Killed,,,,,,,,,,
10,bukkit,org.bukkit.command.SimpleCommandMap,96,False Returns,Killed,,,,,,,,,,
10,bukkit,org.bukkit.command.SimpleCommandMap,96,True Returns,Survived,,,,,,,,,,
10,bukkit,org.bukkit.command.SimpleCommandMap,108,Negate Conditionals,Killed,,,,,,,,,,
10,bukkit,org.bukkit.command.SimpleCommandMap,115,Negate Conditionals,Killed,,,,,,,,,,
10,bukkit,org.bukkit.command.SimpleCommandMap,122,False Returns,Killed,,,,,,,,,,
10,bukkit,org.bukkit.command.SimpleCommandMap,122,True Returns,Killed,,,,,,,,,,
10,bukkit,org.bukkit.command.SimpleCommandMap,149,Negate Conditionals,Killed,,,,,,,,,,
10,bukkit,org.bukkit.command.SimpleCommandMap,153,Negate Conditionals,Killed,,,,,,,,,,
10,bukkit,org.bukkit.command.SimpleCommandMap,109,Negate Conditionals,Survived,,,,,,,,,,
10,bukkit,org.bukkit.command.SimpleCommandMap,138,Negate Conditionals,Killed,,,,,,,,,,
10,bukkit,org.bukkit.command.SimpleCommandMap,138,Negate Conditionals,Survived,,,,,,,,,,
10,bukkit,org.bukkit.command.SimpleCommandMap,138,Negate Conditionals,Survived,,,,,,,,,,
11,bukkit,org.bukkit.command.Command,256,Negate Conditionals,Killed,,,,,,,,,,
11,bukkit,org.bukkit.command.Command,256,True Returns,Killed,,,,,,,,,,
11,bukkit,org.bukkit.command.Command,218,Negate Conditionals,Killed,,,,,,,,,,
11,bukkit,org.bukkit.command.Command,220,False Returns,Killed,,,,,,,,,,
11,bukkit,org.bukkit.command.Command,223,True Returns,Killed,,,,,,,,,,
11,bukkit,org.bukkit.command.Command,247,Negate Conditionals,Killed,,,,,,,,,,
11,bukkit,org.bukkit.command.Command,247,True Returns,Killed,,,,,,,,,,
11,bukkit,org.bukkit.command.Command,202,Negate Conditionals,Killed,,,,,,,,,,
11,bukkit,org.bukkit.command.Command,204,False Returns,Killed,,,,,,,,,,
11,bukkit,org.bukkit.command.Command,307,Negate Conditionals,Killed,,,,,,,,,,
11,bukkit,org.bukkit.command.Command,310,Null Returns,Killed,,,,,,,,,,
11,bukkit,org.bukkit.command.Command,109,Empty Returns,Killed,,,,,,,,,,
11,bukkit,org.bukkit.command.Command,265,Empty Returns,Killed,,,,,,,,,,
12,bukkit,org.bukkit.configuration.file.FileConfiguration,99,Void method Calls,Killed,,,,,,,,,,
12,bukkit,org.bukkit.configuration.file.FileConfiguration,130,Void method Calls,Killed,,,,,,,,,,
12,bukkit,org.bukkit.configuration.file.FileConfiguration,165,Void method Calls,Killed,,,,,,,,,,
12,bukkit,org.bukkit.configuration.file.FileConfiguration,248,Void method Calls,Killed,,,,,,,,,,
12,bukkit,org.bukkit.configuration.file.FileConfiguration,101,Void method Calls,Killed,,,,,,,,,,
12,bukkit,org.bukkit.configuration.file.FileConfiguration,132,Void method Calls,Survived,,,,,,,,,,
12,bukkit,org.bukkit.configuration.file.FileConfiguration,108,Void method Calls,Killed,,,,,,,,,,
12,bukkit,org.bukkit.configuration.file.FileConfiguration,110,Void method Calls,Killed,,,,,,,,,,
12,bukkit,org.bukkit.configuration.file.FileConfiguration,223,Void method Calls,Survived,,,,,,,,,,
12,bukkit,org.bukkit.configuration.file.FileConfiguration,105,Negate Conditionals,Survived,,,,,,,,,,
12,bukkit,org.bukkit.configuration.file.FileConfiguration,169,Negate Conditionals,Survived,,,,,,,,,,
